GameID,Win,QB_pts,RB_pts,WR_pts,TE_pts,Flex_pts,D_pts,K_pts
ALUQ01,1,8,26,12,5,29,9,10
ALUQ02,0,18,12,26,10,5,1,6
ALUQ03,0,2,21,16,0,6,5,6
ALUQ04,0,11,22,15,6,22,4,5
ALUQ05,1,9,40,31,21,15,-1,6
ALUQ06,1,17,33,20,9,5,7,14
ALUQ07,1,23,24,25,7,9,2,20
ALUQ08,0,29,8,27,3,6,7,11
ALUQ09,1,26,32,16,23,22,1,7
ALUQ10,0,17,16,16,2,9,5,10
ALUQ11,0,6,5,9,14,0,12,1
ALUQ12,1,23,28,34,10,3,16,7
ALUQ13,0,13,5,3,1,16,6,1
BB801,1,17,26,29,0,5,5,17
BB802,1,8,8,25,4,16,7,9
BB803,0,5,5,24,4,0,3,6
BB804,1,9,37,21,13,8,4,11
BB805,1,17,17,27,19,2,11,12
BB806,0,19,14,42,15,0,4,13
BB807,0,23,29,16,10,4,2,7
BB808,1,14,26,19,11,2,2,11
BB809,1,21,21,25,3,15,5,6
BB810,0,28,15,15,12,0,5,1
BB811,1,13,14,33,2,16,6,2
BB812,0,-2,19,5,9,13,1,7
BB813,1,33,19,23,5,14,20,9
BRAN01,1,16,11,30,11,2,16,9
BRAN02,1,12,27,33,1,8,13,15
BRAN03,1,9,28,41,14,2,3,5
BRAN04,1,26,26,6,2,12,8,13
BRAN05,1,20,19,30,3,10,3,5
BRAN06,0,16,3,21,14,13,5,7
BRAN07,0,25,5,18,3,1,2,4
BRAN08,1,24,15,51,7,5,-1,17
BRAN09,0,15,17,23,7,0,14,5
BRAN10,0,12,9,21,14,4,4,1
BRAN11,0,5,16,23,2,4,3,8
BRAN12,0,7,9,25,9,7,7,9
BRAN13,0,22,3,29,3,6,5,6
CASH01,0,13,19,2,0,8,19,5
CASH02,0,6,2,20,5,10,4,15
CASH03,0,20,20,31,10,4,13,8
CASH04,0,8,9,9,2,8,3,4
CASH05,1,21,21,30,3,15,14,6
CASH06,0,9,14,18,8,14,7,6
CASH07,1,20,16,18,5,16,10,7
CASH08,1,8,12,27,20,13,4,10
CASH09,0,15,53,19,6,4,6,11
CASH10,1,7,21,16,1,12,15,13
CASH11,0,13,23,20,4,1,8,5
CASH12,1,13,30,17,5,3,8,6
CASH13,1,24,25,38,4,21,0,1
FORB01,0,10,18,9,22,5,15,4
J4201,0,15,20,13,4,2,5,14
J4202,0,21,9,11,2,4,13,6
J4203,0,15,23,23,14,4,5,7
J4204,1,15,6,12,11,0,3,6
J4205,1,12,15,9,0,12,11,5
J4206,1,18,34,20,6,15,5,3
J4207,0,11,29,29,2,14,7,3
J4208,1,22,21,20,2,8,0,8
J4209,0,12,18,18,3,21,8,10
J4210,1,19,16,19,5,14,2,2
J4211,1,25,20,23,0,8,17,9
J4212,0,14,10,9,17,12,5,5
J4213,0,13,9,30,5,10,16,8
KAR201,1,22,19,9,18,9,20,11
KAR202,0,6,7,25,5,11,3,7
KAR203,1,4,43,62,6,30,15,14
KAR204,1,17,9,12,5,2,9,11
KAR205,0,28,17,9,21,2,21,6
KAR206,1,22,26,6,9,13,16,13
KAR207,0,13,18,3,0,17,8,8
KAR208,0,11,13,18,5,3,8,6
KAR209,0,15,27,20,6,0,7,7
KAR210,0,15,19,9,9,5,1,8
